evntName,lat,lon,depth,mag,maxAmp,spCen,rmsA,maxPFA,maxFA,maxPF_FA,Energy,rect,azmth,indAngl,Dip,DipRec,ccD,ccS,xotsu,ccnAb2D,ccnAb2S,ypicD,ypicS,ccnRel2D,ccnRel2S,ccAb2D,ccAb2S,ccRel2D,ccRel2S,xp2D,xp2S,xpp2D,xpp2S,semD,semS,skwnss,semblanceD,semblanceS,envelopD,envelopS,udD,udS,ud2D,ud2S,class
1_20140512_063552,30.012968,-91.125426,1537,-0.35,2107.417959,163.477677,7.029718,184.584023,110.5,0.405509,844511.6943,0.960923,50.9857,76.066267,13.933733,76.066267,0.137073,0.273026,1522.666667,0.063409,0.054428,154.5,174.5,0.00146,0.001496,0.063375,0.002828,0.005952,0.007273,0.027905,0.027925,-0.015425,0.000111,0.195747,0.229283,-5.270463,44.5,42.5,1.625734,4.69227,13211.18798,25644.64862,482204888,1813683230,Deep
1_20140512_063623,30.013584,-91.12499,1639,-0.38,2107.417959,163.477677,7.029718,184.584023,110.5,0.405509,844511.6943,0.960923,50.9857,76.066267,13.933733,76.066267,0.137073,0.273026,1522.666667,0.063409,0.054428,154.5,174.5,0.00146,0.001496,0.063375,0.002828,0.005952,0.007273,0.027905,0.027925,-0.015425,0.000111,0.195747,0.229283,-5.270463,44.5,42.5,1.625734,4.69227,13211.18798,25644.64862,482204888,1813683230,Deep
1_20140512_142833,30.013331,-91.129401,1601,0.24,17021.66735,187.735838,55.608872,838.708146,122.866667,278.999956,39368020.34,0.943354,16.222898,69.556561,20.443439,69.556561,0.116733,0.270524,2583.333333,0.068574,0.058509,156,175.6,0.002021,0.002055,0.115789,0.067973,-0.005961,-0.006075,0.02786,0.027894,-0.000517,-0.001862,0.187776,0.207202,1.054093,46.4,36.8,1.654246,5.351866,1709.807427,21091.52998,34783202.63,1322143215,Deep
1_20140512_183450,30.01352,-91.129324,1758,-0.65,7560.180271,181.493967,51.122455,587.360459,154.444444,3.298831,4993599.775,0.935403,30.792353,71.480243,18.519757,71.480243,0.111365,0.30605,921,0.061634,0.052269,151.666667,175.333333,0.001953,0.001998,0.13388,0.161849,0.018103,-0.026966,0.039105,0.039095,0.019919,0.028339,0.200862,0.213985,-5.270463,45.666667,31.666667,1.673056,4.816219,72581.74958,60921.23513,14454578596,14033204044,Deep
1_20140512_183455,30.014031,-91.128465,1781,-0.37,7560.180271,181.493967,51.122455,587.360459,154.444444,3.298831,4993599.775,0.935403,30.792353,71.480243,18.519757,71.480243,0.111365,0.30605,921,0.061634,0.052269,151.666667,175.333333,0.001953,0.001998,0.13388,0.161849,0.018103,-0.026966,0.039105,0.039095,0.019919,0.028339,0.200862,0.213985,-5.270463,45.666667,31.666667,1.673056,4.816219,72581.74958,60921.23513,14454578596,14033204044,Deep
1_20140515_030131,30.014844,-91.125391,1539,-0.16,14274.44168,137.258341,63.474099,821.21161,81,5.260686,12488611.53,0.994628,88.259837,88.100141,1.899859,88.100141,0.131799,0.281462,817,0.064673,0.055644,153,174,0.00108,0.001121,0.062875,0.001661,0.002701,-0.002081,0.013358,0.013545,-0.014037,-0.007374,0.194172,0.216572,-5.270463,23.666667,31.666667,1.394145,2.332494,13211.18798,25644.64862,482204888,1813683230,Deep
1_20140515_030145,30.014348,-91.125401,1980,0.02,5290.366215,170.822853,33.261678,427.583692,132.466667,2.173049,3333168.85,0.949236,44.12983,74.484395,15.515605,74.484395,0.106519,0.256254,2435,0.069231,0.059254,157,175.4,0.001646,0.001692,0.156183,0.160713,0.013705,-0.026663,0.0276,0.027703,0.012997,0.007053,0.188937,0.215711,-1.054093,40.4,38.8,1.570463,4.597615,1709.807427,21091.52998,34783202.64,1322143215,Deep
1_20140528_181313,30.009846,-91.138713,1862,-0.23,9627.85181,177.32863,57.976881,593.318847,164.111111,3.494204,4887863.759,0.946236,32.602359,64.788959,25.187233,64.788959,0.103583,0.282213,3626,0.059564,0.05092,152.833333,177.333333,0.001609,0.00166,0.129297,0.146333,-0.001144,-0.029252,0.032203,0.032255,0.011626,0.04681,0.206325,0.224189,-5.270463,42.833333,30.333333,1.591251,3.989621,72581.74958,60921.23513,14454578596,14033204044,Deep
1_20140529_191307,30.010061,-91.138647,1942,-0.16,4988.550578,163.55661,22.301825,200.93723,130.466667,1.280817,1060973.738,0.963036,38.513663,51.155885,38.844115,51.155885,0.111247,0.269246,2365,0.060677,0.052338,152.2,176,0.001423,0.001457,0.059563,0.002979,-0.006254,0.004669,0.026744,0.026761,-0.006079,0.013957,0.204753,0.228319,-3.162278,48,41.8,1.559392,3.871222,20399.68594,26880.00067,1176469492,2341161020,Deep
1_20140709_231234,30.008487,-91.140884,1787,-0.56,798.850484,207.476139,3.48762,20.644865,146.333333,0.105005,7373.029286,0.92589,13.077601,63.173154,26.826846,63.173154,0.135682,0.317875,969,0.059813,0.050883,152,175,0.00219,0.00222,0.06554,0.000502,-0.000088,0.008473,0.041921,0.041786,0.001458,0.010618,0.211556,0.221933,-5.270463,58,40,1.838526,6.567136,5305.217207,23237.93703,83302079.48,1448975564,Deep
