1-no,2-depth,3-lat,4-lon,5-maxampZ,6-maxampX,7-maxampY,8-slopZ,9-slopeX,10-slopeY,11-spectralcentZ,12-speccenX,13-speccentY,14-maximumfrequencyampZ,15-rec,16-az,17-dip,18-dd_re,19-dipp,20-DR,21-crossdeep,22-crossshallow,23-Otsu,24-cwtDEEP(meancc),25-cwtSHAL(meancc),26-cwtDEEP(pickcc),27-cwtSHAL(pickcc),28-semblanceDEEP,29-semblanceSHAL,class
62,140,30.011,-91.143,715.99,1228.2,521.24,4.9439,8.0619,2.9419,125.34,93.241,134.28,0.9113,0.91415,25.105,78.365,0.89536,0.97945,0.0045707,0.13024,0.20437,97,0.069264,0.0638,197,171,0.5049,3340,deep
63,80,30.007,-91.138,17339,18178,21987,57.492,263.01,151.27,162.26,182.02,175.65,15.632,0.68027,34.131,-8.6911,0.10279,0.15111,-0.0034013,0.11877,0.1074,96,0.093137,0.0921,210,261,0.698,5646,deep
64,80,30.007,-91.138,344.32,480.87,649.48,2.2323,51.31,5.6458,182.36,219.51,200.93,0.14724,0.78667,-4.1273,1.4235,0.019543,0.024843,-0.0039334,0.10403,0.09346,109,0.071173,0.065145,212,186,0.519,2608,deep
65,80,30.007,-91.138,776.13,963.19,1242.9,20.316,18.402,26.381,221.59,265.31,245.61,0.51491,0.55218,-68.012,-9.1266,0.087585,0.15862,-0.0027609,0.11442,0.050291,102,0.050984,0.046457,213,185,0.4568,2834,deep
66,80,30.007,-91.138,12339,41923,44626,467.78,407.42,510.65,171.69,285.06,263.76,10.119,0.61169,86.536,1.1544,0.012324,0.020147,-0.0030585,0.15406,0.1123,99,0.08118,0.078223,214,252,0.5005,2762,deep
67,80,30.007,-91.138,31601,26024,43827,98.666,467.99,796.8,170.57,208.48,247.74,19.039,0.43309,73.538,-5.1366,0.038775,0.08953,-0.0021654,0.14074,0.085677,109,0.048259,0.043523,209,181,0.5123,3090,deep
68,80,30.007,-91.138,645.86,1158.9,1017.7,8.8449,20.073,14.391,282.18,323.18,319.32,0.1245,0.39181,15.721,-7.9364,0.054099,0.13807,-0.0019591,0.21436,0.05794,96,0.062139,0.056056,208,181,0.4956,2698,deep
69,242,30.01,-91.142,357.26,219.33,372.98,4.1983,3.3113,4.1775,173.42,148.03,159.26,0.05636,0.52356,47.143,31.976,0.27726,0.52956,0.0026178,0.11079,0.060204,100,0.048079,0.042355,219,192,0.4962,2721,deep
70,242,30.01,-91.142,19386,21105,16241,290.16,303.37,265.52,104.94,119.19,153.41,9.7812,0.67171,-27.219,54.287,0.54539,0.81195,0.0033585,0.21614,0.09509,104,0.060411,0.052917,206,178,0.4826,2666,deep
71,242,30.01,-91.142,5249.5,7708.1,4862.9,30.372,103.78,31.421,113.85,96.138,123.47,6.9504,0.93924,8.1033,9.4184,0.1537,0.16364,-0.0046962,0.087276,0.2255,92,0.069014,0.065662,193,166,0.508,2705,deep
72,242,30.01,-91.142,281.83,366.24,370.49,3.1687,4.6933,4.7753,185.47,129.72,155.83,0.13426,0.31063,-27.974,4.6758,0.025322,0.081518,-0.0015532,0.13564,0.086347,119,0.087468,0.075396,210,176,0.5046,3147,deep
73,100,30.006,-91.138,416.4,233.48,293.12,12.841,0.6887,0.92148,166.59,155.56,153.54,0.16688,0.80276,29.223,78.349,0.78622,0.9794,0.0040138,0.13028,0.2052,108,0.13284,0.11029,173,200,0.7125,5832,deep
74,100,30.006,-91.138,292.46,491.97,275.46,35.223,9.1559,5.0104,433.7,419.43,344.86,0.04644,0.52344,14.548,-12.648,0.11462,0.21897,-0.0026172,1,0.049652,105,0.064129,0.053957,203,176,1,2776,deep
75,100,30.006,-91.138,8782.2,4542.4,5496.3,145.6,48.88,92.37,316.96,298.25,344.79,4.3325,0.78647,-64.757,83.239,0.781,0.99305,0.0039323,0.29955,0.13867,76,0.055578,0.047829,199,173,0.5182,2822,deep
76,100,30.006,-91.138,189.47,153.11,243.02,47.927,2.7678,4.4075,336.01,434.03,404.71,0.054452,0.45134,40.818,55.728,0.37298,0.82637,0.0022567,0.23855,0.071502,80,0.077666,0.073673,202,176,0.4708,2720,deep
77,100,30.006,-91.138,9204.5,4219.1,6422.4,293.79,18.138,18.022,201.16,157.08,144.73,12.616,0.91437,86.642,74.943,0.88298,0.96567,0.0045719,0.18849,0.10893,119,0.070437,0.064099,198,171,0.4865,2974,deep
78,100,30.006,-91.138,416.4,233.48,293.12,8.848,0.91052,0.94005,167.88,156.06,153.89,0.16571,0.80908,37.885,77.701,0.79051,0.97705,0.0040454,0.13025,0.2052,109,0.13218,0.11032,173,200,0.7087,5866,deep
79,100,30.006,-91.138,292.46,491.97,275.46,35.223,9.1559,5.0104,433.7,419.43,344.86,0.04644,0.52344,14.548,-12.648,0.11462,0.21897,-0.0026172,1,0.049652,105,0.064129,0.053957,203,176,1,2776,deep
80,100,30.006,-91.138,8782.2,4542.4,5496.3,145.6,48.88,92.37,316.96,298.25,344.79,4.3325,0.78647,-64.757,83.239,0.781,0.99305,0.0039323,0.29955,0.13867,76,0.055578,0.047829,199,173,0.5182,2822,deep
81,100,30.006,-91.138,216.32,156.71,251.35,23.259,2.5682,4.0946,369.21,419.7,391.81,0.05523,0.50432,35.54,62.508,0.44737,0.88708,0.0025216,0.24454,0.060594,68,0.075779,0.072934,202,176,0.5497,2794,deep
82,100,30.006,-91.138,9543.7,4006.5,5795.1,323.32,13.204,17.469,201.7,155.56,155.42,10.871,0.91572,85.13,74.533,0.88256,0.96378,0.0045786,0.14958,0.12291,103,0.092758,0.087633,200,172,0.5152,2788,deep
83,80,30.009,-91.143,127.39,550.71,833.62,1.7604,6.2179,9.2902,348.46,340.41,234.83,0.0069103,0.84882,-78.818,-1.2487,0.018497,0.021792,-0.0042441,0.18036,0.026547,84,0.054588,0.050008,245,218,0.5089,2970,deep
84,80,30.009,-91.143,134.55,75.302,208.65,0.88078,0.30613,1.508,144.1,136.24,164.81,0.073905,0.60567,-47.554,72.928,0.57898,0.95594,0.0030283,0.11491,0.097831,93,0.095768,0.094631,214,247,0.502,2739,deep
85,80,30.009,-91.143,5342.1,2821.9,3141.3,160.23,80.7,22.91,159.1,186.26,145.05,5.0947,0.86385,58.665,63.26,0.77147,0.89306,0.0043193,0.11574,0.13376,115,0.08462,0.07706,196,167,0.5107,3021,deep
86,80,30.009,-91.143,386.82,682.49,704.44,4.988,9.3453,8.6587,280.21,289.25,300.38,0.057777,0.63825,-72.865,9.9382,0.11015,0.17259,-0.0031912,0.20402,0.019041,101,0.059206,0.05533,233,205,0.4812,2716,deep
87,161,30.013,-91.137,127.33,549.35,806.65,1.628,6.206,8.9706,383.56,370.68,314.41,0.007156,0.81238,-71.197,-1.9169,0.027173,0.033449,-0.0040619,0.20265,0.04862,103,0.067645,0.054293,244,179,0.5265,2619,deep
88,161,30.013,-91.137,19093,24254,23667,253.14,252.79,304.05,279.5,261.86,268.81,0.79104,0.32618,65.82,22.233,0.12341,0.37837,0.0016309,0.15529,0.049914,83,0.052906,0.04399,237,206,0.5518,2702,deep
89,161,30.013,-91.137,255.36,352.62,608.93,4.1989,4.7204,7.193,287.71,415.34,301.38,0.079605,0.68574,-83.569,1.1858,0.014191,0.020694,-0.0034287,0.18046,0.020751,115,0.060966,0.059747,221,219,0.4886,2958,deep
90,161,30.013,-91.137,5896.9,3124.8,3872,243.26,104.28,2.4587,184.49,173.38,162.87,2.6794,0.83741,57.069,62.999,0.74613,0.891,0.004187,0.070936,0.05296,98,0.079761,0.094431,217,263,0.5057,2759,deep
91,180,30.01,-91.143,9912.6,15443,14565,93.207,157.77,133.3,244.9,216.76,209.57,0.34224,0.73512,-8.5705,4.5884,0.058807,0.079997,-0.0036756,0.15328,0.044297,78,0.075314,0.073515,226,204,0.4996,2503,deep
92,180,30.01,-91.143,93.435,382.1,395.13,0.73124,3.6792,3.9323,249.88,303.22,308.15,0.0047251,0.88454,56.273,3.1779,0.049035,0.055436,-0.0044227,0.14425,0.037297,107,0.082999,0.073116,228,260,0.4953,2683,deep
93,180,30.01,-91.143,197.79,326.97,467.87,1.9735,3.6087,4.5199,252.84,285.63,282.87,0.035173,0.79282,-45.734,-6.309,0.087124,0.10989,-0.0039641,0.17192,0.033536,104,0.072636,0.069407,222,199,0.5041,2518,deep
94,100,30.008,-91.144,14914,5052.2,8617.2,1484,21.757,1024.2,217.8,189.61,170.32,6.0084,0.82707,-76.087,69.217,0.77325,0.93493,0.0041353,0.16285,0.1251,119,0.092232,0.078893,199,172,0.5325,2885,deep
95,100,30.008,-91.144,522.39,688.78,984.44,136.96,10.2,16.791,438.09,304.37,340.64,0.010213,0.63367,24.462,2.5354,0.028032,0.044237,-0.0031683,0.26682,0.030425,78,0.055259,0.044563,247,175,0.5084,2629,deep
96,100,30.008,-91.144,28041,24889,23685,4248.2,274.14,240.97,281.46,307.62,359.41,3.2217,0.52548,45.58,76.625,0.51123,0.97288,0.0026274,0.11964,0.086733,87,0.098474,0.097616,192,256,0.6812,5390,deep
97,100,30.008,-91.144,12111,11329,16737,128.79,136.64,256.33,303.68,260.48,259.48,5.9656,0.55232,71.165,47.987,0.41037,0.74299,0.0027616,0.22497,0.095723,78,0.060771,0.052255,200,174,0.5175,2618,deep
98,100,30.008,-91.144,395.7,358.63,338.08,133.19,3.4277,5.415,396.06,376.48,382.38,0.0071421,0.25825,8.0693,67.334,0.2383,0.92277,0.0012912,0.20586,0.054511,109,0.10358,0.10601,201,175,0.4139,2599,deep
99,160,30.009,-91.144,55647,21570,20605,6606.4,97.916,83.939,354.76,193.66,191.36,1.1395,0.91929,-86.915,75.99,0.89194,0.97025,0.0045964,0.1454,0.03798,91,0.053746,0.044101,238,168,0.4121,2806,deep
100,160,30.009,-91.144,467.96,978.9,1093.2,11.318,18.461,20.694,460.75,471.44,373.56,0.0065392,0.6266,74.698,5.452,0.059535,0.095012,-0.003133,0.2037,0.029306,67,0.062025,0.052714,213,181,0.5118,2996,deep
101,160,30.009,-91.144,18503,21800,14834,435.02,406.99,276.36,380.31,332.05,353.06,0.74448,0.31099,46.668,63.867,0.2792,0.89777,0.001555,0.16733,0.052591,70,0.071208,0.067543,244,173,0.4719,3052,deep
102,160,30.009,-91.144,693.94,761.11,819.03,15.564,14.695,11.345,525.2,430.74,468.1,0.0097726,0.49239,84.048,38.814,0.30863,0.62679,0.002462,0.23458,0.012128,84,0.050258,0.039059,259,226,0.5899,2667,deep
103,80,30.01,-91.141,75.534,147.99,213.2,2.5589,2.1,2.1413,215.71,230.22,239.5,0.036512,0.84337,-61.702,0.78733,0.011589,0.013741,-0.0042168,0.13371,0.037012,106,0.069718,0.074679,240,214,0.5042,2826,deep
104,80,30.01,-91.141,5629.7,17163,9708.1,82.095,180.53,104.57,230.64,233.18,215.82,4.4194,0.88515,-29.039,-6.2642,0.096582,0.10911,-0.0044257,0.12081,0.029652,109,0.069639,0.076963,242,215,0.4992,2694,deep
105,80,30.01,-91.141,4382.1,2323.5,2225.9,151.99,91.013,7.744,118.49,138.32,128.07,1.1022,0.93342,31.329,65.802,0.8514,0.91213,0.0046671,0.11269,0.14048,127,0.085573,0.093061,188,152,0.5074,2828,deep
106,60,30.009,-91.143,2386.6,1365.3,2540.1,11.295,13.721,17.596,219.64,211.14,218.76,1.0815,0.69826,35.053,22.278,0.26471,0.3791,-0.0034913,0.13899,0.099408,112,0.11772,0.10114,200,170,0.5063,3205,deep
